base_beta,sigma,corr_len,sample_idx,alpha_min,sep_event
-0.18,0.05,0.1,30,-0.407695684758799,1
-0.18,0.05,0.1,31,-0.40702537296850966,1
-0.18,0.05,0.1,32,-0.40778447053229666,1
-0.18,0.05,0.1,33,-0.4050674780061672,1
-0.18,0.05,0.1,34,-0.4035850073452188,1
-0.18,0.05,0.1,35,-0.4068065123486018,1
-0.18,0.05,0.1,36,-0.40454806277102884,1
-0.18,0.05,0.1,37,-0.4055770597882082,1
-0.18,0.05,0.1,38,-0.4081727731425009,1
-0.18,0.05,0.1,39,-0.40514751237327223,1
-0.18,0.05,0.1,40,-0.406690490723349,1
-0.18,0.05,0.1,41,-0.4059619017765759,1
-0.18,0.05,0.1,42,-0.4077406965174746,1
-0.18,0.05,0.1,43,-0.40690335378160064,1
-0.18,0.05,0.1,44,-0.4013516307383445,1
-0.18,0.05,0.1,45,-0.4073476394137256,1
-0.18,0.05,0.1,46,-0.40464093158215525,1
-0.18,0.05,0.1,47,-0.4045288110901095,1
-0.18,0.05,0.1,48,-0.40730255186591147,1
-0.18,0.05,0.1,49,-0.4075077590128293,1
-0.18,0.05,0.1,50,-0.4022308407482667,1
-0.18,0.05,0.1,51,-0.40541184932696583,1
-0.18,0.05,0.1,52,-0.40464086363112434,1
-0.18,0.05,0.1,53,-0.39899650300601697,1
-0.18,0.05,0.1,54,-0.4040390191465667,1
-0.18,0.05,0.1,55,-0.4048387838016138,1
-0.18,0.05,0.1,56,-0.40842216827666317,1
-0.18,0.05,0.1,57,-0.40388018423399885,1
-0.18,0.05,0.1,58,-0.4083358327884148,1
-0.18,0.05,0.1,59,-0.40186067380252083,1
-0.18,0.05,0.3,0,-0.40327410562690724,1
-0.18,0.05,0.3,1,-0.4067383971936947,1
-0.18,0.05,0.3,2,-0.4074897232225402,1
-0.18,0.05,0.3,3,-0.4081864218427205,1
-0.18,0.05,0.3,4,-0.4081676108414784,1
-0.18,0.05,0.3,5,-0.40604669922252656,1
-0.18,0.05,0.3,6,-0.4017634204030083,1
-0.18,0.05,0.3,7,-0.4071931200025241,1
-0.18,0.05,0.3,8,-0.4006343939979939,1
-0.18,0.05,0.3,9,-0.4082660242247989,1
-0.18,0.05,0.3,10,-0.4071988914079054,1
-0.18,0.05,0.3,11,-0.3835766624439868,1
-0.18,0.05,0.3,12,-0.4054586300466451,1
-0.18,0.05,0.3,13,-0.40498156532632656,1
-0.18,0.05,0.3,14,-0.4032255547336204,1
-0.18,0.05,0.3,15,-0.3835766624439868,1
-0.18,0.05,0.3,16,-0.40489090319143406,1
-0.18,0.05,0.3,17,-0.40784535851460274,1
-0.18,0.05,0.3,18,-0.4050739946165594,1
-0.18,0.05,0.3,19,-0.40719533244646366,1
-0.18,0.05,0.3,20,-0.3983416164540472,1
-0.18,0.05,0.3,21,-0.40731386810431075,1
-0.18,0.05,0.3,22,-0.39942291744433944,1
-0.18,0.05,0.3,23,-0.40539672852950115,1
-0.18,0.05,0.3,24,-0.3933942866638429,1
-0.18,0.05,0.3,25,-0.40138957997429814,1
-0.18,0.05,0.3,26,-0.4004303489734528,1
-0.18,0.05,0.3,27,-0.3977384808346395,1
-0.18,0.05,0.3,28,-0.40670036435594153,1
-0.18,0.05,0.3,29,-0.40208844799759574,1
-0.18,0.05,0.3,30,-0.4059093192172272,1
-0.18,0.05,0.3,31,-0.40480681218386155,1
-0.18,0.05,0.3,32,-0.4038260252949725,1
